Algorithm,Seed,Return,waiting_list,queue_list,speed_list,Actor loss,Critic loss,VAE loss,Log time
IPPO,43,-1.5925000000000062,1526.0,109,6.250752272344764,-0.004722466702503425,1.361809421145881,,05-20 03:38:04
IPPO,43,-1.258124999999999,1545.0,115,6.349040755464296,-0.004722466702503425,1.361809421145881,,05-20 03:40:28
IPPO,43,-2.103125000000002,2165.0,116,6.463214549464171,-0.004722466702503425,1.361809421145881,,05-20 03:42:53
IPPO,43,-1.7300000000000009,1893.0,131,6.223771792102654,-0.004722466702503425,1.361809421145881,,05-20 03:45:18
IPPO,43,-2.4374999999999982,1497.0,134,5.631679630782143,-0.004722466702503425,1.361809421145881,,05-20 03:47:45
IPPO,43,-1.4649999999999959,1789.0,104,6.358935034883191,-0.004722466702503425,1.361809421145881,,05-20 03:50:14
IPPO,43,-1.8412499999999987,1751.0,115,6.771584011834473,-0.004722466702503425,1.361809421145881,,05-20 03:52:42
IPPO,43,-1.4600000000000029,1729.0,127,6.034404055881433,-0.004722466702503425,1.361809421145881,,05-20 03:55:05
IPPO,43,-1.936250000000001,1792.0,130,6.03767322945558,-0.004722466702503425,1.361809421145881,,05-20 03:57:32
IPPO,43,-1.6393750000000014,2056.0,123,6.11602329426758,-0.004722466702503425,1.361809421145881,,05-20 03:59:57
IPPO,43,-1.6943749999999993,973.0,113,6.021178475461035,-0.004722466702503425,1.361809421145881,,05-20 04:02:23
IPPO,43,-1.5643750000000003,1721.0,109,6.184351618851897,-0.004722466702503425,1.361809421145881,,05-20 04:04:50
IPPO,43,-2.0049999999999946,1739.0,119,6.002121953340707,-0.004722466702503425,1.361809421145881,,05-20 04:07:17
IPPO,43,-1.7287500000000022,1551.0,116,6.4281331559618415,-0.004722466702503425,1.361809421145881,,05-20 04:09:50
IPPO,43,-1.793750000000001,1629.0,133,6.370570272615416,-0.004722466702503425,1.361809421145881,,05-20 04:12:22
IPPO,43,-1.3087499999999983,1170.0,107,6.188211018596024,-0.004722466702503425,1.361809421145881,,05-20 04:14:48
IPPO,43,-1.505624999999998,1789.0,133,5.873370760849888,-0.004722466702503425,1.361809421145881,,05-20 04:17:18
IPPO,43,-1.2393750000000001,1254.0,122,6.444256511486824,-0.004722466702503425,1.361809421145881,,05-20 04:19:44
IPPO,43,-0.8837500000000018,920.0,90,6.804576738169328,-0.004722466702503425,1.361809421145881,,05-20 04:22:11
IPPO,43,-0.9024999999999992,1114.0,91,6.850321185631943,-0.004722466702503425,1.361809421145881,,05-20 04:24:35
IPPO,43,-1.1431250000000013,1216.0,104,6.6963502158276285,-0.004722466702503425,1.361809421145881,,05-20 04:27:01
IPPO,43,-1.4256249999999995,1350.0,102,6.710946048188166,-0.004722466702503425,1.361809421145881,,05-20 04:29:31
IPPO,43,-2.038125000000001,1042.0,99,6.499184186978526,-0.004722466702503425,1.361809421145881,,05-20 04:31:58
IPPO,43,-1.1118749999999955,981.0,93,6.5433091893725,-0.004722466702503425,1.361809421145881,,05-20 04:34:25
